Date	Price	Open	High	Low	Change
Sep 81	9.120	9.120	9.120	9.120	0.77%
Oct 81	9.130	9.130	9.130	9.130	0.11%
Nov 81	9.120	9.120	9.120	9.120	-0.11%
Dec 81	9.130	9.130	9.130	9.130	0.11%
Jan 82	9.140	9.140	9.140	9.140	0.11%
Feb 82	9.310	9.310	9.310	9.310	1.86%
Mar 82	9.350	9.350	9.350	9.350	0.43%
Apr 82	9.350	9.350	9.350	9.350	0.00%
May 82	9.390	9.390	9.390	9.390	0.43%
Jun 82	9.530	9.530	9.530	9.530	1.49%
Jul 82	9.560	9.560	9.560	9.560	0.31%
Aug 82	9.630	9.630	9.630	9.630	0.73%
Sep 82	9.710	9.710	9.710	9.710	0.83%
Oct 82	9.710	9.710	9.710	9.710	0.00%
Nov 82	9.740	9.740	9.740	9.740	0.31%
Dec 82	9.620	9.620	9.620	9.620	-1.23%
Jan 83	9.910	9.910	9.910	9.910	3.01%
Feb 83	9.960	9.960	9.960	9.960	0.50%
Mar 83	10.020	10.020	10.020	10.020	0.60%
Apr 83	10.000	10.000	10.000	10.000	-0.20%
May 83	9.980	9.980	9.980	9.980	-0.20%
Jun 83	10.090	10.090	10.090	10.090	1.10%
Jul 83	10.140	10.140	10.140	10.140	0.50%
Aug 83	10.220	10.220	10.220	10.220	0.79%
Sep 83	10.200	10.200	10.200	10.200	-0.20%
Oct 83	10.290	10.290	10.290	10.290	0.88%
Nov 83	10.420	10.420	10.420	10.420	1.26%
Dec 83	10.490	10.490	10.490	10.490	0.67%
Jan 84	10.760	10.760	10.760	10.760	2.57%
Feb 84	10.690	10.690	10.690	10.690	-0.65%
Mar 84	10.760	10.760	10.760	10.760	0.65%
Apr 84	10.930	10.930	10.930	10.930	1.58%
May 84	11.050	11.050	11.050	11.050	1.10%
Jun 84	11.220	11.220	11.220	11.220	1.54%
Jul 84	11.550	11.550	11.550	11.550	2.94%
Aug 84	11.600	11.600	11.600	11.600	0.43%
Sep 84	11.920	11.920	11.920	11.920	2.76%
Oct 84	12.120	12.120	12.120	12.120	1.68%
Nov 84	12.290	12.290	12.290	12.290	1.40%
Dec 84	12.380	12.380	12.380	12.380	0.73%
Jan 85	12.670	12.670	12.670	12.670	2.34%
Feb 85	12.930	12.930	12.930	12.930	2.05%
Mar 85	12.200	12.200	12.200	12.200	-5.65%
Apr 85	12.430	12.430	12.430	12.430	1.89%
May 85	12.470	12.470	12.470	12.470	0.32%
Jun 85	12.400	12.400	12.400	12.400	-0.56%
Jul 85	11.800	11.800	11.800	11.800	-4.84%
Aug 85	11.960	11.960	11.960	11.960	1.36%
Sep 85	11.970	11.970	11.970	11.970	0.08%
Oct 85	12.050	12.050	12.050	12.050	0.67%
Nov 85	12.050	12.050	12.050	12.050	0.00%
Dec 85	12.110	12.110	12.110	12.110	0.50%
Jan 86	12.340	12.340	12.340	12.340	1.90%
Feb 86	12.270	12.270	12.270	12.270	-0.57%
Mar 86	12.310	12.310	12.310	12.310	0.33%
Apr 86	12.300	12.300	12.300	12.300	-0.08%
May 86	12.770	12.770	12.770	12.770	3.82%
Jun 86	12.420	12.420	12.420	12.420	-2.74%
Jul 86	12.580	12.580	12.580	12.580	1.29%
Aug 86	12.540	12.540	12.540	12.540	-0.32%
Sep 86	12.770	12.770	12.770	12.770	1.83%
Oct 86	12.980	12.980	12.980	12.980	1.64%
Nov 86	13.100	13.100	13.100	13.100	0.92%
Dec 86	13.120	13.120	13.120	13.120	0.15%
Jan 87	13.040	13.040	13.040	13.040	-0.61%
Feb 87	13.050	13.050	13.050	13.050	0.08%
Mar 87	12.940	12.940	12.940	12.940	-0.84%
Apr 87	12.650	12.650	12.650	12.650	-2.24%
May 87	12.840	12.840	12.840	12.840	1.50%
Jun 87	12.890	12.890	12.890	12.890	0.39%
Jul 87	13.110	13.110	13.110	13.110	1.71%
Aug 87	13.050	13.050	13.050	13.050	-0.46%
Sep 87	13.110	13.110	13.110	13.110	0.46%
Oct 87	12.990	12.990	12.990	12.990	-0.92%
Nov 87	12.890	12.890	12.890	12.890	-0.77%
Dec 87	12.750	12.750	12.750	12.750	-1.09%
Jan 88	13.080	13.080	13.080	13.080	2.59%
Feb 88	13.060	13.060	13.060	13.060	-0.15%
Mar 88	12.960	12.960	12.960	12.960	-0.77%
Apr 88	13.210	13.210	13.210	13.210	1.93%
May 88	13.470	13.470	13.470	13.470	1.97%
Jun 88	14.070	14.070	14.070	14.070	4.45%
Jul 88	14.170	14.170	14.170	14.170	0.71%
Aug 88	14.360	14.360	14.360	14.360	1.34%
Sep 88	14.550	14.550	14.550	14.550	1.32%
Oct 88	14.970	14.970	14.970	14.970	2.89%
Nov 88	14.950	14.950	14.950	14.950	-0.13%
Dec 88	14.990	14.990	14.990	14.990	0.27%
Jan 89	15.180	15.180	15.180	15.180	1.27%
Feb 89	15.350	15.350	15.350	15.350	1.12%
Mar 89	15.630	15.630	15.630	15.630	1.82%
Apr 89	15.860	15.860	15.860	15.860	1.47%
May 89	16.280	16.280	16.280	16.280	2.65%
Jun 89	16.490	16.490	16.490	16.490	1.29%
Jul 89	16.440	16.440	16.440	16.440	-0.30%
Aug 89	16.650	16.650	16.650	16.650	1.28%
Sep 89	16.690	16.690	16.690	16.690	0.24%
Oct 89	16.880	16.880	16.880	16.880	1.14%
Nov 89	16.860	16.860	16.860	16.860	-0.12%
Dec 89	16.840	16.840	16.840	16.840	-0.12%
Jan 90	16.880	16.880	16.880	16.880	0.24%
Feb 90	16.960	16.960	16.960	16.960	0.47%
Mar 90	17.180	17.180	17.180	17.180	1.30%
Apr 90	17.300	17.300	17.300	17.300	0.70%
May 90	17.378	17.373	17.399	17.343	0.45%
Jun 90	17.489	17.483	17.548	17.381	0.64%
Jul 90	17.393	17.388	17.541	17.363	-0.55%
Aug 90	17.552	17.544	17.598	17.304	0.91%
Sep 90	18.080	18.075	18.270	17.544	3.01%
Oct 90	18.157	18.149	18.268	17.897	0.43%
Nov 90	18.187	18.182	18.207	18.015	0.17%
Dec 90	18.136	18.136	18.279	18.064	-0.28%
Jan 91	18.655	18.650	18.683	18.051	2.86%
Feb 91	19.075	19.069	19.174	18.565	2.25%
Mar 91	19.617	19.608	19.702	19.015	2.84%
Apr 91	20.212	20.206	20.373	19.604	3.03%
May 91	20.910	20.903	20.927	20.196	3.45%
Jun 91	21.202	21.195	21.247	20.907	1.40%
Jul 91	25.880	25.867	26.609	23.060	22.06%
Aug 91	25.800	25.790	26.257	25.510	-0.31%
Sep 91	25.803	25.786	26.038	25.714	0.01%
Oct 91	25.800	25.790	26.004	25.710	-0.01%
Nov 91	25.810	25.800	25.917	25.753	0.04%
Dec 91	25.795	25.783	25.942	25.727	-0.06%
Jan 92	26.001	25.991	26.154	25.767	0.80%
Feb 92	26.287	26.259	27.452	25.773	1.10%
Mar 92	31.348	31.299	31.795	28.011	19.25%
Apr 92	30.576	30.562	31.560	30.479	-2.46%
May 92	30.604	30.166	31.254	29.713	0.09%
Jun 92	30.840	30.609	31.008	29.762	0.77%
Jul 92	30.098	30.864	30.887	29.999	-2.41%
Aug 92	30.349	30.130	31.074	29.945	0.83%
Sep 92	30.048	30.303	30.317	29.936	-0.99%
Oct 92	30.062	30.075	30.386	29.945	0.05%
Nov 92	30.289	30.093	30.363	29.922	0.76%
Dec 92	30.831	30.257	30.984	30.193	1.79%
Jan 93	31.377	30.840	31.610	30.680	1.77%
Feb 93	32.868	31.392	33.724	31.192	4.75%
Mar 93	31.201	32.895	33.358	31.104	-5.07%
Apr 93	31.343	31.201	31.560	31.158	0.46%
May 93	31.377	31.348	31.432	31.289	0.11%
Jun 93	31.365	31.382	31.538	31.255	-0.04%
Jul 93	31.368	31.368	31.412	31.299	0.01%
Aug 93	31.377	31.365	31.403	31.350	0.03%
Sep 93	31.370	31.367	31.385	31.360	-0.02%
Oct 93	31.371	31.370	31.384	31.360	0.00%
Nov 93	31.371	31.367	31.376	31.363	0.00%
Dec 93	31.369	31.365	31.386	31.363	-0.01%
Jan 94	31.366	31.367	31.381	31.360	-0.01%
Feb 94	31.365	31.367	31.383	31.360	-0.00%
Mar 94	31.370	31.360	31.470	31.360	0.02%
Apr 94	31.367	31.363	31.388	31.355	-0.01%
May 94	31.370	31.367	31.380	31.360	0.01%
Jun 94	31.370	31.365	31.383	31.363	0.00%
Jul 94	31.370	31.367	31.385	31.350	0.00%
Aug 94	31.369	31.367	31.391	31.358	-0.00%
Sep 94	31.363	31.367	31.380	31.358	-0.02%
Oct 94	31.376	31.367	31.409	31.360	0.04%
Nov 94	31.395	31.375	31.442	31.363	0.06%
Dec 94	31.369	31.385	31.434	31.365	-0.08%
Jan 95	31.375	31.370	31.388	31.355	0.02%
Feb 95	31.426	31.372	31.456	31.360	0.16%
Mar 95	31.415	31.400	32.115	31.370	-0.04%
Apr 95	31.433	31.420	31.492	31.300	0.06%
May 95	31.425	31.430	31.467	31.320	-0.03%
Jun 95	31.400	31.390	31.445	31.310	-0.08%
Jul 95	31.415	31.400	31.435	31.350	0.05%
Aug 95	31.855	31.370	32.065	31.350	1.40%
Sep 95	33.925	31.780	35.015	31.780	6.50%
Oct 95	34.200	33.750	35.900	33.730	0.81%
Nov 95	34.895	34.000	35.008	33.900	2.03%
Dec 95	35.165	34.850	35.205	34.750	0.77%
Jan 96	36.450	35.180	36.750	35.150	3.65%
Feb 96	34.685	36.380	38.575	34.460	-4.84%
Mar 96	34.100	34.600	36.050	33.650	-1.69%
Apr 96	34.650	34.000	34.930	33.700	1.61%
May 96	34.950	34.500	35.870	34.250	0.87%
Jun 96	34.950	34.750	35.295	34.500	0.00%
Jul 96	35.550	34.850	36.060	34.600	1.72%
Aug 96	35.650	35.560	35.990	35.100	0.28%
Sep 96	35.650	35.500	36.060	35.350	0.00%
Oct 96	35.700	35.540	35.925	35.200	0.14%
Nov 96	35.722	35.660	35.865	35.400	0.06%
Dec 96	35.850	35.700	36.047	35.477	0.36%
Jan 97	35.850	35.710	35.990	35.620	0.00%
Feb 97	35.860	35.880	36.030	35.750	0.03%
Mar 97	35.875	35.850	36.045	35.750	0.04%
Apr 97	35.760	35.800	35.940	35.600	-0.32%
May 97	35.770	35.700	35.940	35.650	0.03%
Jun 97	35.800	35.782	35.920	35.380	0.08%
Jul 97	35.700	35.815	35.955	35.550	-0.28%
Aug 97	36.405	35.697	36.575	35.630	1.97%
Sep 97	36.175	36.300	36.795	36.050	-0.63%
Oct 97	36.350	36.170	36.470	36.050	0.48%
Nov 97	38.800	36.260	39.150	36.235	6.74%
Dec 97	39.200	38.450	39.950	38.450	1.03%
Jan 98	38.650	39.150	40.550	38.000	-1.40%
Feb 98	39.350	38.670	39.650	38.400	1.81%
Mar 98	39.505	39.290	39.625	39.044	0.39%
Apr 98	39.715	39.420	39.785	39.250	0.53%
May 98	41.650	39.500	41.880	39.500	4.87%
Jun 98	42.400	41.610	43.070	41.350	1.80%
Jul 98	42.550	42.370	42.750	42.000	0.35%
Aug 98	42.525	42.450	43.805	42.250	-0.06%
Sep 98	42.430	42.510	42.615	42.200	-0.22%
Oct 98	42.375	42.350	42.542	42.100	-0.13%
Nov 98	42.560	42.220	42.750	42.150	0.44%
